"tick","Count 1 Producers","Count 2 Internationals","Count 3 Wholesalers","Count 4 Retailers","Count 5 Consumers"
319.0,8.0,5.0,7.0,10.0,34.0
320.0,8.0,5.0,7.0,10.0,34.0
321.0,8.0,5.0,7.0,10.0,34.0
322.0,8.0,5.0,7.0,10.0,34.0
323.0,8.0,5.0,7.0,10.0,34.0
324.0,8.0,5.0,7.0,10.0,34.0
325.0,8.0,5.0,7.0,10.0,34.0
326.0,8.0,5.0,7.0,10.0,34.0
327.0,8.0,5.0,7.0,10.0,34.0
328.0,8.0,5.0,7.0,10.0,34.0
329.0,8.0,5.0,7.0,10.0,34.0
330.0,8.0,6.0,7.0,10.0,34.0
331.0,8.0,6.0,7.0,10.0,34.0
332.0,8.0,6.0,7.0,10.0,34.0
333.0,8.0,6.0,7.0,10.0,34.0
334.0,8.0,6.0,7.0,10.0,34.0
335.0,8.0,6.0,7.0,10.0,34.0
336.0,8.0,6.0,7.0,10.0,34.0
337.0,8.0,6.0,7.0,10.0,34.0
338.0,8.0,6.0,7.0,10.0,34.0
339.0,8.0,6.0,7.0,10.0,34.0
340.0,8.0,6.0,7.0,10.0,35.0
341.0,8.0,6.0,7.0,10.0,35.0
342.0,8.0,6.0,6.0,10.0,35.0
343.0,8.0,6.0,6.0,10.0,35.0
344.0,8.0,6.0,7.0,10.0,35.0
345.0,8.0,6.0,7.0,10.0,35.0
346.0,8.0,6.0,7.0,10.0,35.0
347.0,8.0,6.0,7.0,10.0,35.0
348.0,8.0,6.0,7.0,10.0,35.0
349.0,8.0,6.0,7.0,10.0,35.0
350.0,8.0,6.0,7.0,10.0,35.0
351.0,8.0,6.0,7.0,10.0,35.0
352.0,8.0,6.0,7.0,10.0,35.0
353.0,8.0,6.0,7.0,10.0,36.0
354.0,8.0,6.0,7.0,10.0,36.0
355.0,8.0,6.0,7.0,10.0,36.0
356.0,8.0,6.0,7.0,10.0,36.0
357.0,8.0,6.0,7.0,10.0,36.0
358.0,8.0,6.0,7.0,10.0,36.0
359.0,8.0,6.0,7.0,10.0,36.0
360.0,8.0,6.0,7.0,10.0,36.0
361.0,8.0,6.0,7.0,10.0,36.0
362.0,8.0,6.0,7.0,10.0,36.0
363.0,8.0,6.0,7.0,10.0,36.0
364.0,8.0,6.0,7.0,10.0,37.0
365.0,8.0,6.0,7.0,10.0,37.0
366.0,8.0,6.0,7.0,10.0,37.0
367.0,8.0,6.0,7.0,10.0,37.0
368.0,8.0,6.0,6.0,10.0,37.0
369.0,8.0,6.0,6.0,10.0,37.0
370.0,8.0,6.0,6.0,10.0,37.0
371.0,8.0,6.0,7.0,10.0,37.0
372.0,8.0,6.0,7.0,10.0,38.0
373.0,8.0,6.0,7.0,10.0,39.0
374.0,8.0,6.0,7.0,10.0,40.0
375.0,8.0,6.0,7.0,10.0,40.0
376.0,8.0,6.0,7.0,10.0,40.0
377.0,8.0,6.0,7.0,10.0,40.0
378.0,8.0,6.0,7.0,9.0,40.0
379.0,8.0,6.0,7.0,9.0,40.0
380.0,8.0,6.0,7.0,9.0,40.0
381.0,8.0,6.0,7.0,9.0,40.0
382.0,8.0,6.0,7.0,9.0,40.0
383.0,8.0,6.0,7.0,9.0,40.0
384.0,8.0,6.0,6.0,9.0,40.0
385.0,8.0,6.0,6.0,9.0,40.0
386.0,8.0,7.0,6.0,9.0,40.0
387.0,8.0,7.0,6.0,9.0,40.0
388.0,8.0,7.0,6.0,9.0,40.0
389.0,8.0,7.0,6.0,9.0,40.0
390.0,8.0,8.0,6.0,9.0,40.0
391.0,8.0,8.0,6.0,9.0,40.0
392.0,8.0,8.0,6.0,9.0,40.0
393.0,8.0,8.0,6.0,8.0,41.0
394.0,8.0,8.0,6.0,8.0,41.0
395.0,8.0,8.0,6.0,8.0,41.0
396.0,8.0,8.0,6.0,8.0,42.0
397.0,8.0,8.0,6.0,8.0,42.0
398.0,8.0,8.0,6.0,8.0,42.0
399.0,8.0,8.0,6.0,8.0,42.0
400.0,8.0,8.0,6.0,8.0,42.0
