"tick","Intervened % Global","Intervened % NL"
566.0,7.829627309740056,0.0
567.0,7.84865540963102,0.0
568.0,7.875,0.0
569.0,7.865168539325842,0.0
570.0,7.855361596009976,0.0
571.0,7.84557907845579,0.0
572.0,7.859583721652687,0.0
573.0,7.842529448233106,0.0
574.0,7.854050711193568,0.0
575.0,7.841926520531029,0.0
576.0,7.827426810477658,0.0
577.0,7.810578105781057,0.0
578.0,7.881018092609629,0.0
579.0,7.8689528475199015,0.0
580.0,7.856924487924183,0.0
581.0,7.903570338724443,0.0
582.0,7.889125799573561,0.0
583.0,7.909948281107393,0.0
584.0,7.897934386391252,0.0
585.0,7.881176113973931,0.0
586.0,7.887579329102448,0.0
587.0,7.863814401928291,0.0
588.0,7.842548076923077,0.0
589.0,7.823741007194244,0.0
590.0,7.795698924731183,0.0
591.0,7.774798927613941,0.0
592.0,7.749406175771971,0.0
593.0,7.75836541308854,0.0
594.0,7.83096926713948,0.0
595.0,7.846607669616519,0.0
596.0,7.866823806717738,0.0
597.0,7.855251544571932,0.0
598.0,7.870778267254039,0.0
599.0,7.859237536656892,0.0
600.0,7.8431372549019605,0.0
601.0,7.820250948351328,0.0
602.0,7.8265929589758505,0.0
603.0,7.82608695652174,0.0
604.0,7.792207792207792,0.0
605.0,7.796317606444189,0.0
606.0,7.773952954675846,0.0
607.0,7.780320366132723,0.0
608.0,7.782212086659065,0.0
609.0,7.757885763000852,0.0
610.0,7.735902521960895,0.0
611.0,7.737927139226207,0.0
612.0,7.742117117117117,0.0
613.0,7.772166105499438,0.0
614.0,7.817315774726814,0.0
615.0,7.834359261331842,0.0
616.0,7.8277886497064575,0.0
617.0,7.849162011173185,0.0
618.0,7.866108786610878,0.0
619.0,7.852965747702589,0.0
620.0,7.839866555462886,0.0
621.0,7.91007493755204,0.0
622.0,7.926829268292683,0.0
623.0,7.945736434108527,0.0
624.0,7.928176795580111,0.0
625.0,7.93607054284927,0.0
626.0,7.920792079207921,0.0
627.0,7.93302223442218,0.0
628.0,7.947382844614963,0.0
629.0,7.968236582694415,0.0
630.0,7.961696306429548,0.0
631.0,7.948647910406994,0.0
632.0,7.962912462503409,0.0
633.0,7.941256459069894,0.0
634.0,8.023854703171592,0.0
635.0,8.033540708682715,0.0
636.0,8.022690437601296,0.0
637.0,8.061472094904287,0.0
638.0,8.048452220726784,0.0
639.0,8.091397849462366,0.0
640.0,8.10738255033557,0.0
641.0,8.085676037483266,0.0
642.0,8.097274184927846,0.0
643.0,8.084311632870865,0.0
644.0,8.06494543518765,0.0
645.0,8.04567180031864,0.0
646.0,8.052980132450331,0.0
647.0,8.0338266384778,0.0
648.0,8.006320779562813,0.0
