"tick","Imported NL Low","Imported NL High","Imported ES Low","Imported ES High"
51.0,116.05312126928881,0.0,136.28203770470427,25.0
52.0,116.05312126928881,0.0,136.28203770470427,25.0
53.0,116.05312126928881,0.0,136.28203770470427,50.0
54.0,116.05312126928881,0.0,136.28203770470427,50.0
55.0,141.0531212692888,0.0,136.28203770470427,50.0
56.0,141.0531212692888,0.0,136.28203770470427,50.0
57.0,141.0531212692888,0.0,136.28203770470427,50.0
58.0,166.0531212692888,0.0,136.28203770470427,50.0
59.0,191.85081305228806,0.0,136.28203770470427,50.0
60.0,191.85081305228806,0.0,136.28203770470427,50.0
61.0,191.85081305228806,0.0,136.28203770470427,50.0
62.0,191.85081305228806,0.0,136.28203770470427,50.0
63.0,191.85081305228806,0.0,136.28203770470427,50.0
64.0,191.85081305228806,0.0,136.28203770470427,50.0
65.0,191.85081305228806,0.0,136.28203770470427,77.65739843474012
66.0,191.85081305228806,0.0,161.28203770470427,77.65739843474012
67.0,191.85081305228806,0.0,186.86180783341644,77.65739843474012
68.0,191.85081305228806,0.0,212.99497475003824,105.93577859323956
69.0,191.85081305228806,0.0,212.99497475003824,105.93577859323956
70.0,191.85081305228806,0.0,212.99497475003824,134.57812288865256
71.0,191.85081305228806,0.0,212.99497475003824,134.57812288865256
72.0,191.85081305228806,0.0,212.99497475003824,134.57812288865256
73.0,191.85081305228806,0.0,212.99497475003824,134.57812288865256
74.0,191.85081305228806,25.0,212.99497475003824,134.57812288865256
75.0,191.85081305228806,50.53833936916986,212.99497475003824,134.57812288865256
76.0,191.85081305228806,76.58820732107866,212.99497475003824,134.57812288865256
77.0,191.85081305228806,76.58820732107866,212.99497475003824,134.57812288865256
78.0,191.85081305228806,101.58820732107866,212.99497475003824,134.57812288865256
79.0,191.85081305228806,101.58820732107866,212.99497475003824,134.57812288865256
80.0,191.85081305228806,101.58820732107866,212.99497475003824,134.57812288865256
81.0,191.85081305228806,101.58820732107866,212.99497475003824,134.57812288865256
82.0,191.85081305228806,101.58820732107866,212.99497475003824,134.57812288865256
83.0,191.85081305228806,101.58820732107866,212.99497475003824,134.57812288865256
84.0,191.85081305228806,101.58820732107866,212.99497475003824,134.57812288865256
85.0,191.85081305228806,101.58820732107866,212.99497475003824,134.57812288865256
