"tick","P Sell Price","P Avg Buy","I Sell Price","I Avg Buy","W Sell Price","W Avg Buy","R Sell Price","R Avg Buy"
44.0,0.8892356338890531,0.46269231521894805,1.9404831759261398,1.0061194634991608,50.256320895339485,25.61555343151962,119.92420335638583,60.06385429163142
45.0,0.8875501232728586,0.4618205188418251,1.8454228232747782,0.956974271438539,50.256320895339485,25.61555343151962,120.00557255226954,60.10657311947035
46.0,0.8862017147799031,0.4611230817401268,1.7530238384585926,0.9090770684133301,49.40218236896197,25.61555343151962,119.85390511087805,60.02694771273983
47.0,0.8851229879855387,0.46056513205876803,1.6624961633643194,0.8620423058220384,46.19833415623912,23.933533119840124,119.73257115776487,59.963247387355416
48.0,0.8843270616355084,0.4601522998564119,1.639511113159485,0.8499751544645004,43.8235590312473,22.74614555734421,118.97501044555784,59.572115901207674
49.0,0.8837439646238532,0.4598488561287113,1.5782900605592198,0.818231451423945,43.8235590312473,22.74614555734421,118.44661560578461,59.299978920535516
50.0,0.8832774870145291,0.45960610114655087,1.5680417202155854,0.8128510727435371,43.8235590312473,22.74614555734421,118.02389973396606,59.08226933599779
51.0,0.8829043049270698,0.4594118971608225,1.563317170512367,0.8103706841493474,42.20788087626526,21.89791452597864,117.40164042550522,58.766058362864605
52.0,0.8826057592571024,0.4592565339722399,1.546427742771048,0.8018246820149819,42.20788087626526,21.89791452597864,116.9038329787365,58.513089584358056
53.0,0.8823669227211284,0.45913224342137376,1.5211434830778021,0.7885504456760277,40.90912054658107,21.216065352894443,116.50558702132156,58.310714561552814
54.0,0.8427819140984099,0.43736614431401416,1.6052208186687693,0.8326910468612856,40.90912054658107,21.216065352894443,116.13296997735938,58.11872692209356
55.0,0.811113907200235,0.4199532650281266,1.5667733200911016,0.81250611010801,40.90912054658107,21.216065352894443,115.83487634218966,57.965136810526154
56.0,0.785790751658222,0.4060285865876798,1.5358913989857845,0.7962931015277185,40.90912054658107,21.216065352894443,115.49744826607794,57.79031430808485
57.0,0.7655322272246116,0.39488884383532247,1.5110867243069848,0.7832706473213484,40.90912054658107,21.216065352894443,115.30197740574413,57.6876921064096
58.0,0.749325407677723,0.38597704963343654,1.4911636743283077,0.7728110460825431,40.90912054658107,21.216065352894443,115.14560071747708,57.6055943450694
59.0,0.7363599520402124,0.3788476142719278,1.4821320209128483,0.7680694280394269,40.90912054658107,21.216065352894443,115.02049936686343,57.53991613599723
60.0,0.7259875875302039,0.3731440659827208,1.4498255190947689,0.7517354154909177,40.90912054658107,21.216065352894443,115.02049936686343,57.53991613599723
61.0,0.7176896959221971,0.36858122735135523,1.436986588540247,0.7453159502136569,40.90912054658107,21.216065352894443,115.02049936686343,57.53991613599723
62.0,0.7110513826357916,0.36493095644626283,1.4304130560963322,0.7420291839916994,40.90912054658107,21.216065352894443,115.02049936686343,57.53991613599723
63.0,0.7057294820301405,0.36200511473392544,1.4270474074850477,0.7403463596860571,38.97010478663748,20.246557472922643,115.02049936686343,57.53991613599723
64.0,0.7014887025821177,0.3596732304082171,1.42532419539607,0.7394847536415683,37.41375660646079,19.4683833828343,115.02049936686343,57.53991613599723
65.0,0.8893457838151331,0.4495494768122718,1.4250015360702293,0.7393234239786479,37.41375660646079,19.4683833828343,115.02049936686343,57.53991613599723
66.0,0.8869733782507422,0.4482472813814394,1.4245771396922955,0.739111225789681,35.533842284677924,18.843856274552586,115.02049936686343,57.53991613599723
67.0,0.8869317721318383,0.44822650011970827,1.4244441245584862,0.7390447182227765,34.533909626591594,18.343889945509417,114.24940996416237,57.1543714346467
68.0,0.8868984872367152,0.4482098751103234,1.4243377124514391,0.7389915121692529,34.533909626591594,18.343889945509417,113.63253844200152,56.845935673566274
