"tick","IdSupplier","IdClient","LocationX","LocationY","Size"
17.0,16,27,73.95,23.0,5.8206893040521495
17.0,0,9,19.375,34.15,5.0
17.0,10,57,63.27709800062351,21.540064576962767,5.175590279785173
17.0,10,57,59.65682618215828,24.5673079510706,5.212903042485666
17.0,17,52,53.82447413554896,33.9779805087775,5.0
17.0,11,26,74.63697413554895,25.6779805087775,5.797103673875347
17.0,3,3,10.7,28.2,0.25
17.0,11,26,62.55917780083086,30.379242690791564,5.307809155905485
17.0,3,3,9.7,28.2,0.7375
17.0,0,0,9.7,40.2,0.7375
17.0,2,8,19.375,32.050000000000004,5.0
17.0,0,0,10.7,40.2,0.25
17.0,17,52,47.52792780083086,14.116742690791561,5.179599851148764
17.0,3,6,19.375,29.849999999999998,5.0
17.0,2,2,10.7,39.2,0.25
17.0,1,1,9.7,36.2,0.7375
17.0,17,52,50.67620096818991,24.04736159978453,5.09119921615156
17.0,10,57,66.89736981908874,18.512821202854933,5.157374491810409
17.0,16,27,55.075,17.5,6.014310524866099
17.0,1,1,10.7,36.2,0.25
17.0,2,2,9.7,39.2,0.7375
17.0,16,27,64.5125,20.25,5.919535776183576
18.0,0,9,22.5,31.4,5.0
18.0,10,57,66.89736981908874,18.512821202854933,5.175590279785173
18.0,10,57,63.27709800062351,21.540064576962767,5.212903042485666
18.0,3,3,11.7,28.2,0.25
18.0,11,26,68.5980759681899,28.028611599784533,5.307809155905485
18.0,3,3,10.7,28.2,0.7375
18.0,0,0,10.7,40.2,0.7375
18.0,2,8,22.5,28.800000000000004,5.0
18.0,3,3,9.7,28.2,1.3371421737753728
18.0,3,6,22.5,30.599999999999998,5.0
18.0,1,1,10.7,36.2,0.7375
18.0,17,52,53.82447413554896,33.9779805087775,5.09119921615156
18.0,1,1,11.7,36.2,0.25
18.0,2,2,10.7,39.2,0.7375
18.0,16,27,55.075,17.5,6.044642134289971
18.0,17,52,47.52792780083086,14.116742690791561,5.19499969492858
18.0,1,7,22.5,22.6,5.0
18.0,11,26,74.63697413554895,25.6779805087775,5.9156211379170776
18.0,2,2,9.7,39.2,1.3382415752028192
18.0,0,0,9.7,40.2,1.3141357638480033
18.0,0,0,11.7,40.2,0.25
18.0,17,52,50.67620096818991,24.04736159978453,5.179599851148764
18.0,1,1,9.7,36.2,1.3352834623305885
18.0,2,2,11.7,39.2,0.25
18.0,16,27,64.5125,20.25,6.014310524866099
18.0,16,27,73.95,23.0,5.919535776183576
19.0,3,3,9.7,28.2,2.0248808327220056
19.0,10,57,66.89736981908874,18.512821202854933,5.212903042485666
19.0,11,26,74.63697413554895,25.6779805087775,5.307809155905485
19.0,3,3,11.7,28.2,0.7375
19.0,0,0,11.7,40.2,0.7375
19.0,3,3,10.7,28.2,1.3371421737753728
19.0,1,1,11.7,36.2,0.7375
19.0,2,2,9.7,39.2,2.028502602888908
19.0,2,2,11.7,39.2,0.7375
19.0,16,27,64.5125,20.25,6.044642134289971
19.0,1,1,9.7,36.2,2.0203253343144705
19.0,17,52,50.67620096818991,24.04736159978453,5.19499969492858
19.0,2,2,10.7,39.2,1.3382415752028192
19.0,16,27,55.075,17.5,6.073457163242649
19.0,17,52,47.52792780083086,14.116742690791561,5.209629546519404
19.0,0,0,9.7,40.2,1.958250535582744
19.0,0,0,10.7,40.2,1.3141357638480033
19.0,17,52,53.82447413554896,33.9779805087775,5.179599851148764
19.0,1,1,10.7,36.2,1.3352834623305885
19.0,16,27,73.95,23.0,6.014310524866099
20.0,0,0,9.7,40.2,2.6375964880152782
20.0,1,1,9.7,36.2,2.7590609997750746
20.0,16,27,55.075,17.5,6.100831440747693
20.0,3,3,10.7,28.2,2.0248808327220056
20.0,3,3,11.7,28.2,1.3371421737753728
20.0,3,3,9.7,28.2,2.7662653656063085
20.0,2,2,10.7,39.2,2.028502602888908
20.0,2,2,9.7,39.2,2.7741011954974684
20.0,16,27,73.95,23.0,6.044642134289971
20.0,1,1,10.7,36.2,2.0203253343144705
20.0,17,52,53.82447413554896,33.9779805087775,5.19499969492858
20.0,2,2,11.7,39.2,1.3382415752028192
20.0,16,27,64.5125,20.25,6.073457163242649
20.0,17,52,50.67620096818991,24.04736159978453,5.209629546519404
20.0,0,0,10.7,40.2,1.958250535582744
20.0,0,0,11.7,40.2,1.3141357638480033
20.0,1,1,11.7,36.2,1.3352834623305885
21.0,0,0,10.7,40.2,2.6375964880152782
21.0,1,1,10.7,36.2,2.7590609997750746
21.0,16,27,64.5125,20.25,6.100831440747693
21.0,3,3,9.7,28.2,3.5232158224101213
21.0,3,3,11.7,28.2,2.0248808327220056
21.0,3,3,10.7,28.2,2.7662653656063085
21.0,0,0,9.7,40.2,3.317273664263198
21.0,2,2,9.7,39.2,3.537121991185423
21.0,2,2,11.7,39.2,2.028502602888908
21.0,2,2,10.7,39.2,2.7741011954974684
21.0,1,1,11.7,36.2,2.0203253343144705
21.0,16,27,73.95,23.0,6.073457163242649
21.0,17,52,53.82447413554896,33.9779805087775,5.209629546519404
21.0,0,0,11.7,40.2,1.958250535582744
21.0,1,1,9.7,36.2,3.514267579800358
22.0,0,0,11.7,40.2,2.6375964880152782
22.0,1,1,11.7,36.2,2.7590609997750746
22.0,2,2,9.7,39.2,4.583357313436436
22.0,16,27,73.95,23.0,6.100831440747693
22.0,3,3,10.7,28.2,3.5232158224101213
22.0,3,3,11.7,28.2,2.7662653656063085
22.0,0,0,10.7,40.2,3.317273664263198
22.0,2,2,10.7,39.2,3.537121991185423
22.0,1,7,16.25,31.1,6.80199281127668
22.0,2,2,11.7,39.2,2.7741011954974684
