"tick","Id","LocationX","LocationY","Money"
2.0,57,85,39,0.0
2.0,27,86,23,5575.966906217542
2.0,31,77,38,5575.950478161405
2.0,41,80,24,0.0
2.0,48,89,32,5576.070344527718
2.0,25,84,16,0.0
2.0,36,64,23,0.0
2.0,17,43,10,23400.88531145973
2.0,47,63,44,0.0
2.0,49,90,34,5576.166826069466
2.0,14,48,25,0.0
2.0,3,12,11,497.86465384679616
2.0,44,86,9,0.0
2.0,24,84,19,0.0
2.0,40,74,25,0.0
2.0,8,25,29,39829.39299538452
2.0,18,50,10,5576.314268334079
2.0,19,52,6,5576.472166403495
2.0,7,25,26,39829.04321214929
2.0,9,25,32,39828.96063976176
2.0,43,83,4,5576.2299676460025
2.0,45,80,3,0.0
2.0,55,71,43,0.0
2.0,13,50,33,5576.002384660933
2.0,29,88,27,0.0
2.0,39,78,26,5576.396805489325
2.0,1,12,34,497.8649448797921
2.0,32,78,35,0.0
2.0,56,85,47,0.0
2.0,59,95,17,0.0
2.0,11,43,31,23399.931094892367
2.0,20,45,6,0.0
2.0,30,76,38,5576.140211029873
2.0,34,67,22,5576.08737949092
2.0,37,68,24,0.0
2.0,10,43,36,23400.230133008234
2.0,16,43,2,23399.61795610174
2.0,46,59,46,0.0
2.0,33,74,36,0.0
2.0,54,66,41,0.0
2.0,4,12,40,497.8955802874058
2.0,15,45,29,0.0
2.0,53,69,41,5576.065519353915
2.0,2,12,25,497.8508223197074
2.0,26,88,24,5576.246080725621
2.0,52,69,44,5576.364312933125
2.0,12,48,28,5575.966934124921
2.0,35,66,21,5576.299922582153
2.0,38,76,26,5576.416799912862
3.0,51,95,31,0.0
3.0,42,86,5,5564.613158739816
3.0,22,87,16,5564.615596520324
3.0,28,88,22,0.0
3.0,6,25,20,39747.8093548473
3.0,21,46,4,0.0
3.0,58,93,24,0.0
3.0,23,87,17,5564.644639075138
3.0,50,93,29,0.0
3.0,5,12,18,496.8434581658686
3.0,0,12,27,496.7819678879983
3.0,57,85,39,0.0
3.0,27,86,23,5563.9503593263125
3.0,31,77,38,5563.925717242108
3.0,41,80,24,0.0
3.0,48,89,32,5564.1055167915765
3.0,25,84,16,0.0
3.0,36,64,23,0.0
3.0,17,43,10,23351.327967189594
3.0,47,63,44,0.0
3.0,49,90,34,5564.250239104199
3.0,14,48,25,0.0
3.0,3,12,11,496.79698077019424
3.0,44,86,9,0.0
3.0,24,84,19,0.0
3.0,40,74,25,0.0
3.0,8,25,29,39744.08949307678
3.0,18,50,10,5564.471402501119
3.0,19,52,6,5564.708249605243
3.0,7,25,26,39743.56481822394
3.0,9,25,32,39743.44095964264
3.0,43,83,4,5564.344951469004
3.0,45,80,3,0.0
3.0,55,71,43,0.0
3.0,13,50,33,5564.003576991399
3.0,29,88,27,0.0
3.0,39,78,26,5564.595208233987
3.0,1,12,34,496.7974173196882
3.0,32,78,35,0.0
3.0,56,85,47,0.0
3.0,59,95,17,0.0
3.0,11,43,31,23349.89664233855
3.0,20,45,6,0.0
3.0,30,76,38,5564.21031654481
3.0,34,67,22,5564.13106923638
3.0,37,68,24,0.0
3.0,10,43,36,23350.34519951235
3.0,16,43,2,23349.426934152612
3.0,46,59,46,0.0
3.0,33,74,36,0.0
3.0,54,66,41,0.0
3.0,4,12,40,496.84337043110867
3.0,15,45,29,0.0
3.0,53,69,41,5564.098279030873
3.0,2,12,25,496.7762334795611
3.0,26,88,24,5564.369121088432
3.0,52,69,44,5564.546469399687
3.0,12,48,28,5563.950401187381
3.0,35,66,21,5564.44988387323
3.0,38,76,26,5564.625199869293
4.0,51,95,31,0.0
4.0,42,86,5,5552.817544986421
4.0,22,87,16,5552.820795360432
4.0,28,88,22,0.0
4.0,6,25,20,39663.74580646306
4.0,21,46,4,0.0
4.0,58,93,24,0.0
4.0,23,87,17,5552.859518766851
4.0,50,93,29,0.0
4.0,5,12,18,495.79127755449144
4.0,0,12,27,495.70929051733106
4.0,57,85,39,0.0
4.0,27,86,23,5551.933812435083
4.0,31,77,38,5551.90095632281
4.0,41,80,24,0.0
4.0,48,89,32,5552.140689055435
4.0,25,84,16,0.0
4.0,36,64,23,0.0
4.0,17,43,10,23301.77062291946
4.0,47,63,44,0.0
4.0,49,90,34,5552.333652138932
4.0,14,48,25,0.0
4.0,3,12,11,495.7293076935923
4.0,44,86,9,0.0
4.0,24,84,19,0.0
4.0,40,74,25,0.0
4.0,8,25,29,39658.78599076904
4.0,18,50,10,5552.628536668159
4.0,19,52,6,5552.94433280699
4.0,7,25,26,39658.086424298584
4.0,9,25,32,39657.92127952352
4.0,43,83,4,5552.459935292005
4.0,45,80,3,0.0
4.0,55,71,43,0.0
4.0,13,50,33,5552.004769321866
4.0,29,88,27,0.0
4.0,39,78,26,5552.79361097865
4.0,1,12,34,495.72988975958424
4.0,32,78,35,0.0
4.0,56,85,47,0.0
4.0,59,95,17,0.0
4.0,11,43,31,23299.862189784733
4.0,20,45,6,0.0
4.0,30,76,38,5552.280422059746
4.0,34,67,22,5552.174758981841
4.0,37,68,24,0.0
4.0,10,43,36,23300.460266016467
4.0,16,43,2,23299.235912203483
4.0,46,59,46,0.0
4.0,33,74,36,0.0
