"run","tick","random_seed","Produced","Deleted","Consumed","Cut Source","Cut Produced","Consumed Low","Consumed High","Quality ES High","Quality ES Low","Quality NL High","Quality NL Low"
810,1000.0,-1876812127,17380.9035708151,12744.92802672727,4149.463950729798,537.2014319655036,805.8021479482555,3916.6991970621875,232.76475366761036,809.6237629373267,4129.808179614644,111.42895593701925,290.5707355398489
812,1000.0,-1876808719,15081.186805812418,7989.1065421703,6210.8482192712945,937.1206848922669,1405.6810273384017,5176.9226040007015,1033.9256152705932,2265.363168641773,4269.765726256312,1184.233148059993,2404.239748418987
814,1000.0,-1876804943,17004.109008976364,8697.794107513171,6701.3525141489245,1180.7343247382926,1771.101487107439,6272.701422059661,428.65109208926293,1343.6946008348175,3352.072320607053,1438.9789194923694,4593.4075754801015
816,1000.0,-1876800161,15168.541211237505,9942.673330753567,4145.234052976936,415.42520578640546,623.1378086796078,3907.3495148876464,237.8845380892901,580.955956956936,2730.277020551686,586.3272506585887,3259.0145997122127
818,1000.0,-1876796361,16704.13604477824,12533.843175284015,3783.2267086663487,1119.2233272891838,1678.8349909337749,3415.63515729554,367.5915513708089,949.1594630772257,1812.788222297975,1570.057267283872,2058.7207238174824
820,1000.0,-1876793712,11444.734196550093,8505.364352231914,3162.11044370283,561.7611278933223,842.6416918399832,2694.2312125103285,467.8792311925013,1211.028827721649,2545.917347618939,115.86246186432248,154.4390676546803
822,1000.0,-1876791593,8553.281412311311,4837.02360933533,3551.3760438973436,595.484438400819,893.226657601228,3004.2393332068355,547.1367106905082,693.2536633868834,1744.8110461631588,1112.1141669629617,2043.40078219226
824,1000.0,-1876787302,20190.999761793497,11021.988288655395,8422.018159832109,1252.7278381646297,1879.0917572469461,7130.688161831347,1291.3299980007607,2203.492512367649,5978.802758451732,1784.6690968851394,3573.3708284513746
826,1000.0,-1876780620,18443.270781957024,10994.791756731742,6494.521244049955,1423.6273965775688,2135.441094866354,5814.905690492699,679.6155535572561,1539.7420045261576,3428.7513251185956,1723.853519634999,3746.247816743882
828,1000.0,-1876775721,22140.25612793777,16701.7306037978,4376.745233244187,853.053527808308,1279.5802917124624,4124.107097110032,252.63813613415556,615.355484199403,1013.2671215229432,1487.6724790283513,4071.189357871365
