"run","tick","random_seed","Produced","Deleted","Consumed","Cut Source","Cut Produced","Consumed Low","Consumed High","Quality ES High","Quality ES Low","Quality NL High","Quality NL Low"
557,1000.0,-1195685800,9438.193967022167,6233.458377175481,2588.865063785047,420.49476001940087,630.7421400291014,2347.603692230548,241.2613715544988,50.0,1493.3004010570958,1278.8704076476329,2324.377971584619
559,1000.0,-1195683803,11418.036257722024,7732.7875494447235,3932.0017354502866,1184.6651559389743,1776.9977339084621,3062.7330970716166,869.2686383786701,1674.611667844141,2448.9159895886487,1473.9630643235155,1682.830478535673
561,1000.0,-1195680225,12053.764990168587,8350.72027785443,2343.230940204555,676.6844252950962,1015.0266379426437,2048.4458995796454,294.7850406249096,814.5297603730149,1524.9558861652702,1112.5603384865055,1604.4211060647028
563,1000.0,-1195677882,10430.19680330981,7044.00610628278,2908.271415396545,413.8249072186259,620.737360827939,2035.916223938085,872.3551914584599,1104.1274584893204,1706.6954114413752,1199.034109488845,1396.5262769189262
565,1000.0,-1195675754,14490.142458202332,9112.77809636472,4643.55745682757,814.549184214244,1221.8237763213654,4054.0774069729537,589.4800498546158,1041.4991337971446,2630.924930816671,2368.34392478415,3182.3178225370043
567,1000.0,-1195672422,11207.780791173846,7760.594228450975,2992.862790794284,614.7399170613414,922.1098755920118,2718.8799351266025,273.9828556676817,765.2954713611924,3320.9104553855195,734.029382057575,1093.7131898920882
569,1000.0,-1195669966,14289.665834532574,9462.38043952487,4232.642820550533,1218.245126557859,1827.3676898367871,3781.3470305462647,451.29579000426793,1770.1942528751006,2224.144323445107,1407.9633856287542,2323.838280668635
571,1000.0,-1195666374,9827.958863239042,6282.451051754884,3107.622338679578,720.082854249694,1080.12428137454,2840.8048638922774,266.8174747873007,893.5486681602948,2590.75928210296,907.4371632097855,1156.167634575496
573,1000.0,-1195664117,12875.204926271732,9452.476128590202,3445.4263626919956,1428.7062265166512,2143.059339774977,3265.735386687078,179.69097600491753,910.9342260773772,999.4989115226919,1253.0590743558569,2312.4717281643916
575,1000.0,-1195661203,11800.647234876533,7663.8252317491015,4326.69429977563,1045.6322585467267,1568.4483878200895,3963.1738495083328,363.52045026729667,1686.5673098650784,3272.6733084728335,448.5802480489638,1842.360447688274
577,1000.0,-1195658357,13270.075336262424,8774.866269086593,4075.554552466889,1043.3587706887238,1565.0381560330854,3643.8418916043024,431.71266086258674,1046.2878686741446,1702.7467770412275,1883.0048168603,3677.8996883047544
579,1000.0,-1195655681,13667.041877387743,8674.981422628041,3218.144311487107,533.5441421063416,800.3162131595125,2920.560938646357,297.58337284075037,1441.6356819421424,3033.566957182891,567.4845321827734,1103.2365331861251
581,1000.0,-1195653204,9293.332950239444,6255.32137988434,3022.4770139179072,485.9647818219337,728.947172732901,2691.207826208432,331.2691877094752,666.7379580142369,1737.6522297944941,701.1937286401604,1815.3803808186838
583,1000.0,-1195650706,8552.099264555465,5012.351982411426,2602.518542674276,575.974267890023,863.9614018350347,2147.335875058593,455.18266761568276,415.9200588324733,803.865982668,1907.8281683064827,2265.9791355360917
585,1000.0,-1195649038,9639.14713566386,7340.060251986591,2122.318799288525,354.1500874585614,531.2251311878422,2056.0900244361337,66.22877485239142,374.3493502958291,1214.3755932912063,493.7680389327306,1776.9508441438738
587,1000.0,-1195647123,11645.097522771983,7569.475597073387,3357.63119662954,618.6321533793007,927.9482300689509,2901.5544813923516,456.07671523718847,1134.4813530644512,1925.372338462425,1380.7231315247047,2063.976130136831
589,1000.0,-1195644693,12031.464592420853,7024.353358268732,4142.298931135864,813.3702267192346,1220.0553400788524,3632.52996466254,509.7689664733241,1073.6820198676317,3152.1492791175583,1185.092821063239,2251.056979560474
591,1000.0,-1195642213,10626.688764414477,7246.646719189415,2927.8693039060463,637.9189075829837,956.878361374475,2345.939157727191,581.9301461788554,1408.5585034517524,2248.2740171509313,770.7586954788408,698.5659760759333
593,1000.0,-1195639521,8367.819239409415,6272.04118967375,2403.861750240715,630.6359551939632,945.9539327909456,2162.162114478788,241.69963576192686,938.9524615444996,1847.0508855243206,643.7046465061737,1004.0211592243932
595,1000.0,-1195637765,11431.528914120265,6629.697080868602,4179.439286157601,1077.2687212063668,1615.9030818095498,3841.249802983865,338.1894831737356,862.0514135441065,2201.7922364295855,1411.3457074691835,2314.2773665734926
597,1000.0,-1195635285,17220.530747354882,12985.460501780279,3927.270798071609,796.336911480662,1194.505367220993,3437.943991267183,489.32680680442644,829.4990064310691,1791.2296264916783,1778.225842369739,3181.4630067301946
599,1000.0,-1195632216,11629.276961401221,7331.570454127382,3791.7753729201563,898.8394503709216,1348.2591755563826,3148.7351730644536,643.0401998557028,1031.9004860073971,2970.421551323502,1623.5733986498253,1787.5731369720172
601,1000.0,-1195629508,13396.748899927381,8265.520875379629,4256.615864341759,946.1870529928469,1419.2805794892695,3567.6501353459544,688.9657289958046,1382.3079092295125,2000.875015212487,2112.1962484890564,2763.97619251582
603,1000.0,-1195626226,7417.686359948184,5359.16585441972,2084.146762048433,480.37843478320247,720.5676521748042,1816.9181815895874,267.2285804588459,999.1258440654092,1750.688102342287,655.0552071258589,771.5573759215739
605,1000.0,-1195624654,7655.616952415405,5833.922724864284,1696.2885493677695,247.37736204283365,371.0660430642505,1537.6291315092026,158.65941785856685,700.5524105304141,1420.791182487063,478.6713531705659,1047.7833615305012
607,1000.0,-1195623284,7608.989572600106,4356.714161336003,2946.0002572869394,184.8848210251484,277.3272315377226,2902.3701382151658,43.630119071773535,239.49993971690077,1839.698237594818,151.3488579933516,2533.066581643762
609,1000.0,-1195620770,10845.457028552695,7886.129940466593,2397.873072295816,300.76947216382143,451.1542082457322,2002.2784992896595,395.5945730061567,842.3856972230884,1844.9561745250844,999.9059366117234,1236.0524951005868
611,1000.0,-1195618945,9351.25886334851,5978.2333051361275,2809.3713566377187,472.41744004628765,708.6261600694312,2711.3470672505327,98.02428938718616,502.3476234086089,1155.0761408972778,876.9852705459704,2107.265991704024
613,1000.0,-1195617174,7098.036326706638,4557.9928812947055,2275.7186315597046,390.5249377012947,585.7874065519419,1706.1299998556317,569.5886317040729,775.113826764243,1073.859153351586,1024.4657049858076,1354.8955622744377
615,1000.0,-1195615610,9144.968459734742,6085.6672538279645,2426.768531766549,451.3780433153174,677.067064972976,2246.7451340958464,180.02339767070288,499.6225999287401,1652.2413298119623,652.6061634230668,1349.3984740187743
617,1000.0,-1195613947,13610.019818635757,9144.019167238537,3966.074410674803,665.3817470962238,998.0726206443359,3227.6069777987204,738.4674328760826,1693.5252336948731,3202.1263673574026,1125.8002382495577,1581.1774610103062
619,1000.0,-1195610684,11008.100118324537,7207.937551134333,3122.09919242919,972.7833984363616,1459.1750976545416,2722.5638986038466,399.53529382534344,769.4333360535529,1549.1896487373263,1365.6350237029878,2663.451804388647
621,1000.0,-1195608372,9641.193540518048,7038.641063134733,2296.994257716001,394.1497298991613,591.224594848742,2099.992608375826,197.00164934017508,682.870523604675,1403.5927369496492,536.3585803464329,1667.3593922548546
