"tick","IdSupplier","IdClient","LocationX","LocationY","Size"
15.0,11,22,32.6,36.900000000000006,5.0
15.0,24,17,47.6,6.899999999999999,1.8102591469865281
16.0,3,6,8.6,22.6,5.0
16.0,24,17,47.6,6.899999999999999,1.8707097751524755
16.0,11,22,32.6,36.900000000000006,5.1212160273672085
16.0,1,1,2.2,31.2,0.25
16.0,15,18,35.599999999999994,19.9,6.029920283485074
16.0,3,3,2.2,26.2,0.25
16.0,24,17,44.6,8.399999999999999,1.8723759042072137
16.0,1,7,8.6,34.8,5.0
16.0,15,18,32.599999999999994,11.399999999999999,6.1936958979325345
16.0,11,22,35.6,31.650000000000006,5.0
16.0,24,17,50.6,5.399999999999999,1.8102591469865281
17.0,1,1,2.2,31.2,0.7375
17.0,3,6,11.6,19.6,5.0
17.0,24,17,50.6,5.399999999999999,1.8707097751524755
17.0,11,22,35.6,31.650000000000006,5.1212160273672085
17.0,1,1,3.2,31.2,0.25
17.0,15,18,38.599999999999994,28.4,6.029920283485074
17.0,3,3,3.2,26.2,0.25
17.0,24,17,47.6,6.899999999999999,1.8723759042072137
17.0,1,7,11.6,37.8,5.0
17.0,11,22,32.6,36.900000000000006,5.239056913272592
17.0,15,18,32.599999999999994,11.399999999999999,6.3565394281825975
17.0,15,18,35.599999999999994,19.9,6.1936958979325345
17.0,10,24,32.599999999999994,34.0,5.0
17.0,11,22,38.6,26.400000000000006,5.0
17.0,3,3,2.2,26.2,0.7375
17.0,14,20,32.6,11.8,3.288208391459193
18.0,1,1,3.2,31.2,0.7375
18.0,3,6,14.6,16.6,5.0
18.0,11,22,38.6,26.400000000000006,5.1212160273672085
18.0,1,1,4.2,31.2,0.25
18.0,3,3,4.2,26.2,0.25
18.0,11,22,32.6,36.900000000000006,5.353557131793917
18.0,24,17,50.6,5.399999999999999,1.8723759042072137
18.0,18,23,44.6,31.6,3.2415873997045184
18.0,22,19,44.6,27.3,1.8068733628555815
18.0,1,7,14.6,40.8,5.0
