"tick","IdClient","IdSupplier","LocationX","LocationY","Size"
7.0,20,14,35.6,16.9,5.064545761055779
7.0,21,16,50.6,23.4,1.3410481821150193
7.0,21,16,44.6,12.399999999999999,1.238808492425744
7.0,13,20,47.6,35.05,1.9383513572048288
7.0,23,18,47.6,28.2,1.9897814461560697
7.0,20,14,38.6,22.4,5.135715678268345
8.0,22,11,38.6,26.0,5.343190110852589
8.0,23,18,47.6,28.2,2.159058519198212
8.0,24,10,32.6,33.6,5.143999532492307
8.0,21,16,44.6,12.399999999999999,1.2912391025228083
8.0,22,11,35.6,31.249999999999996,5.230830108467635
8.0,21,16,50.6,23.4,1.38836680772762
8.0,20,14,38.6,22.4,5.21268597161938
8.0,13,20,47.6,35.05,2.0988326148093575
8.0,17,24,50.6,5.0,1.6091389640521474
8.0,17,24,47.6,6.500000000000001,1.534921451091446
8.0,24,10,38.6,16.6,5.424666400339035
8.0,17,24,44.6,8.000000000000002,1.456797753238076
8.0,25,12,44.6,34.7,1.9317368743715808
8.0,19,22,50.6,35.4,1.488476622647353
8.0,24,10,35.6,25.1,5.285594858671974
8.0,25,12,50.6,16.2,2.2424694088372377
8.0,25,12,47.6,25.45,2.0910868920462766
8.0,19,22,47.6,31.15,1.4289606136382396
8.0,18,15,32.6,10.999999999999996,10.325903838517842
8.0,23,18,50.6,25.2,2.319871738588247
8.0,18,15,35.6,19.499999999999996,10.656295268918036
8.0,18,15,38.6,27.999999999999996,10.989910772416055
8.0,22,11,32.6,36.49999999999999,5.116402213631955
8.0,19,22,44.6,26.9,1.3663121831023308
8.0,20,14,32.6,11.399999999999999,5.064545761055779
8.0,21,16,47.6,17.9,1.3410481821150193
8.0,13,20,50.6,38.8,2.2512898095336595
8.0,13,20,44.6,31.299999999999997,1.9383513572048288
8.0,23,18,44.6,31.2,1.9897814461560697
8.0,20,14,35.6,16.9,5.135715678268345
9.0,25,12,50.6,16.2,2.3862827997886504
9.0,22,11,35.6,31.249999999999996,5.343190110852589
9.0,10,6,26.599999999999998,37.8,50.0
9.0,13,20,50.6,38.8,2.3961241445217465
9.0,22,11,38.6,26.0,5.4534029402948
9.0,23,18,44.6,31.2,2.159058519198212
9.0,14,8,26.6,10.200000000000001,25.0
9.0,15,7,26.6,9.200000000000001,50.0
9.0,22,11,32.6,36.49999999999999,5.230830108467635
9.0,21,16,47.6,17.9,1.38836680772762
9.0,20,14,35.6,16.9,5.21268597161938
9.0,24,10,38.6,16.6,5.561112547629301
9.0,13,20,44.6,31.299999999999997,2.0988326148093575
9.0,17,24,47.6,6.500000000000001,1.6091389640521474
9.0,17,24,44.6,8.000000000000002,1.534921451091446
9.0,24,10,35.6,25.1,5.424666400339035
9.0,17,24,50.6,5.0,1.6796456013648138
9.0,19,22,47.6,31.15,1.488476622647353
9.0,24,10,32.6,33.6,5.285594858671974
9.0,25,12,47.6,25.45,2.2424694088372377
9.0,25,12,44.6,34.7,2.0910868920462766
9.0,11,9,26.6,39.4,25.0
9.0,18,15,38.6,27.999999999999996,11.325601963126113
9.0,19,22,44.6,26.9,1.4289606136382396
9.0,21,16,50.6,23.4,1.4333195020595904
9.0,23,18,47.6,28.2,2.319871738588247
9.0,18,15,32.6,10.999999999999996,10.656295268918036
9.0,18,15,35.6,19.499999999999996,10.989910772416055
9.0,23,18,50.6,25.2,2.47264429700878
9.0,19,22,50.6,35.4,1.5450168312060106
9.0,21,16,44.6,12.399999999999999,1.3410481821150193
9.0,20,14,38.6,22.4,5.294698678702007
9.0,13,20,47.6,35.05,2.2512898095336595
9.0,20,14,32.6,11.399999999999999,5.135715678268345
10.0,25,12,47.6,25.45,2.3862827997886504
10.0,25,12,50.6,16.2,2.5229055211924925
10.0,22,11,32.6,36.49999999999999,5.343190110852589
10.0,10,6,23.599999999999998,30.299999999999997,50.0
10.0,13,20,47.6,35.05,2.3961241445217465
10.0,24,10,38.6,16.6,5.694848161126283
10.0,22,11,35.6,31.249999999999996,5.4534029402948
10.0,14,8,23.6,16.950000000000003,25.0
10.0,23,18,50.6,25.2,2.617778227508287
10.0,15,7,23.6,19.700000000000003,50.0
10.0,15,7,26.6,9.200000000000001,51.3357159962591
10.0,13,20,50.6,38.8,2.533716762760429
10.0,17,24,50.6,5.0,1.7466269068118467
10.0,21,16,44.6,12.399999999999999,1.38836680772762
10.0,20,14,32.6,11.399999999999999,5.21268597161938
10.0,24,10,35.6,25.1,5.561112547629301
10.0,17,24,44.6,8.000000000000002,1.6091389640521474
10.0,11,9,26.6,39.4,25.47026419908194
10.0,24,10,32.6,33.6,5.424666400339035
10.0,10,6,26.599999999999998,37.8,51.45172033139257
10.0,17,24,47.6,6.500000000000001,1.6796456013648138
10.0,19,22,44.6,26.9,1.488476622647353
10.0,19,22,50.6,35.4,1.5987300293367355
10.0,25,12,44.6,34.7,2.2424694088372377
