"tick","Id","LocationX","LocationY","Money"
6.0,0,5,40,493.6113594944238
6.0,18,41,35,5528.068937054835
6.0,13,53,42,1498.493850338459
6.0,14,29,5,23197.718168224048
6.0,25,53,9,1280.0136717259884
6.0,9,17,26,39486.46409519762
6.0,24,41,10,5529.065617265962
6.0,11,29,43,23200.876338353555
6.0,10,29,44,23198.613513067263
6.0,12,41,46,5530.31347896427
6.0,3,5,26,493.68047653278336
6.0,16,41,6,5528.262147961015
6.0,8,17,32,39490.32701673638
6.0,2,5,42,493.57490862141117
6.0,19,53,39,454.80187453329563
6.0,4,5,24,493.56455487998915
6.0,22,41,22,5529.512452604324
6.0,7,17,43,39485.87747309171
6.0,5,5,20,493.6957074854173
6.0,23,53,23,1393.438370347023
6.0,20,41,27,5530.489846227652
7.0,1,5,31,492.56801608062807
7.0,15,29,1,23148.511111009702
7.0,21,53,28,441.8219332396984
7.0,6,17,14,39407.24546399107
7.0,17,53,4,542.778003692627
7.0,0,5,40,492.5465860768278
7.0,18,41,35,5516.0804265639745
7.0,13,53,42,1692.2428253948688
7.0,14,29,5,23147.337862928056
7.0,25,53,9,1437.3492836803198
7.0,9,17,26,39400.874777730554
7.0,24,41,10,5573.616553476955
7.0,11,29,43,23151.022394745814
7.0,10,29,44,23148.382431911807
7.0,12,41,46,5575.072392124982
7.0,3,5,26,492.6272226215806
7.0,16,41,6,5516.305839287851
7.0,8,17,32,39405.38151952578
7.0,2,5,42,492.50406005831303
7.0,19,53,39,474.60218695551157
7.0,4,5,24,492.49198069332067
7.0,22,41,22,5574.137861371711
7.0,7,17,43,39400.19038527366
7.0,5,5,20,492.6449920663202
7.0,23,53,23,1625.6780987381935
7.0,20,41,27,5575.278153932261
8.0,1,5,31,491.50630409214637
8.0,15,29,1,23098.298412582517
8.0,21,53,28,504.93935227394104
8.0,6,17,14,39322.566244561225
8.0,17,53,4,628.3177185058594
8.0,0,5,40,491.48181265923176
8.0,18,41,35,5504.091916073114
8.0,13,53,42,1941.9918004512786
8.0,14,29,5,23096.957557632064
8.0,25,53,9,1650.6848956346512
8.0,9,17,26,39315.28546026349
8.0,24,41,10,5562.167489687949
8.0,11,29,43,23101.168451138074
8.0,10,29,44,23098.15135075635
